function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.095,15515648.000,1,0,shasum,40,1.000,4.656,4769280.000,5,0,cows,20,1.000,3.058,20534613.333,5,0,109.440,114.207,12050274986.667,12047619925.333,10,0
figlet,0,1.000,0.089,15517184.000,1,0,shasum,40,1.000,5.278,4382720.000,5,0,cows,20,1.000,5.075,15224832.000,5,0,109.320,114.636,12060950528.000,12036954624.000,10,0
figlet,0,1.000,0.092,15519744.000,1,0,shasum,40,1.000,4.550,3857066.667,5,0,cows,30,1.000,4.174,6733824.000,5,0,116.483,118.370,12032627370.667,12022574592.000,10,0
figlet,0,1.000,0.089,15521280.000,1,0,shasum,40,1.000,4.126,3248128.000,5,0,cows,30,1.000,3.709,7716864.000,5,0,115.800,123.685,12028205738.667,12021779968.000,10,0
figlet,0,1.000,0.075,15524352.000,1,0,shasum,40,1.000,4.939,3022848.000,13,0,cows,30,1.000,4.857,7290880.000,5,0,115.360,125.636,12026408277.333,12068102144.000,10,0
figlet,0,1.000,0.086,15527424.000,1,0,shasum,40,1.000,5.789,4339200.000,17,1,cows,40,1.000,6.255,17255936.000,9,0,130.000,123.430,12164423680.000,12234405034.667,10,1
figlet,0,1.000,0.078,15527936.000,1,0,shasum,40,1.000,4.130,7720960.000,5,0,cows,40,1.000,4.453,5046272.000,5,0,134.520,136.751,12379443882.667,12308373674.667,20,0
figlet,0,1.000,0.086,15529984.000,1,0,shasum,40,1.000,5.320,5675520.000,9,0,cows,40,1.000,7.825,16445952.000,9,0,143.084,124.110,12090654037.333,12139708928.000,10,0
figlet,0,1.000,0.089,15536128.000,1,0,shasum,40,1.000,5.635,8723285.333,13,0,cows,50,1.000,9.185,28040874.667,13,0,138.640,133.052,12261401258.667,12325902506.667,10,0
figlet,0,1.000,0.085,15485440.000,1,0,shasum,40,1.000,7.032,9285632.000,17,1,cows,50,1.000,11.242,29756416.000,17,1,148.760,160.297,12460319402.667,12568726186.667,10,1
figlet,0,1.000,0.105,15396864.000,1,0,shasum,40,1.000,4.062,2822144.000,5,0,cows,50,1.000,6.428,30692693.333,5,0,174.098,151.123,12733867349.333,12485233664.000,20,0
figlet,0,1.000,0.086,15396864.000,1,0,shasum,50,1.000,6.162,5097984.000,9,0,cows,0,1.000,2.545,14998528.000,1,0,162.077,126.839,12128123562.667,12141446485.333,10,0
figlet,0,1.000,0.088,15396864.000,1,0,shasum,50,1.000,6.589,3657728.000,13,0,cows,0,1.000,0.090,89883136.000,1,0,94.759,92.790,12126734336.000,12142618453.333,10,0
figlet,0,1.000,0.097,15398400.000,1,0,shasum,50,1.000,6.819,6503424.000,17,1,cows,0,1.000,0.111,90054656.000,1,0,87.800,98.170,12193045845.333,12227611136.000,10,1
figlet,10,1.000,1.702,15706624.000,1,0,shasum,0,1.000,1.115,8475989.333,1,0,cows,0,1.000,0.109,89143808.000,1,0,84.440,94.820,12273098752.000,12224469504.000,20,0
figlet,10,1.000,2.184,3883008.000,1,0,shasum,0,1.000,0.079,18489344.000,1,0,cows,0,1.000,0.098,88553472.000,1,0,99.400,78.180,12033355776.000,12034772309.333,10,0
figlet,10,1.000,2.521,3453440.000,1,0,shasum,0,1.000,0.098,18489344.000,1,0,cows,0,1.000,0.095,88578048.000,1,0,72.800,66.360,12020669098.667,12024455680.000,10,0
figlet,10,1.000,2.059,4312405.333,1,0,shasum,0,1.000,0.076,18489344.000,1,0,cows,10,1.000,0.864,88757248.000,1,0,72.760,73.990,12007594666.667,12014847658.667,10,0
figlet,10,1.000,2.391,5378048.000,1,0,shasum,0,1.000,0.079,18489344.000,1,0,cows,10,1.000,2.018,14639104.000,1,0,122.120,100.330,12026621269.333,12020138325.333,10,0
figlet,10,1.000,1.666,4501504.000,1,0,shasum,0,1.000,0.121,18489344.000,1,0,cows,10,1.000,2.308,13254656.000,1,0,104.360,95.760,11997816832.000,12008811178.667,10,0
figlet,10,1.000,2.137,4320597.333,1,0,shasum,0,1.000,0.064,18489344.000,1,0,cows,20,1.000,2.405,13187072.000,1,0,108.960,106.141,11975974229.333,12012718421.333,10,0
figlet,10,1.000,2.521,3993600.000,1,0,shasum,0,1.000,0.073,18489344.000,1,0,cows,20,1.000,2.561,5894144.000,1,0,121.754,137.716,12028201642.667,12067927893.333,10,0
figlet,10,1.000,1.970,4100096.000,5,0,shasum,0,1.000,0.080,18489344.000,1,0,cows,20,1.000,2.288,5836800.000,5,0,125.119,122.780,12034397525.333,12046776832.000,10,0
