function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,2.974,3593557.333,5,0,cows,0,1.000,0.105,94661120.000,1,0,nmap,0,1.000,0.171,53108736.000,1,0,75.680,76.910,13454134613.333,13455282688.000,10,0
figlet,20,1.000,4.419,4505088.000,5,0,cows,0,1.000,0.110,94736384.000,1,0,nmap,0,1.000,0.312,53108736.000,1,0,85.480,83.950,13427933184.000,13433959936.000,10,0
figlet,20,1.000,3.725,5599232.000,5,0,cows,0,1.000,0.099,95238144.000,1,0,nmap,10,1.000,44.956,55754752.000,5,0,78.400,130.580,13430054229.333,13447646890.667,10,0
figlet,20,1.000,3.155,2994176.000,5,0,cows,0,1.000,0.100,95124992.000,1,0,nmap,10,1.000,71.422,5185536.000,5,0,166.444,164.951,13478612309.333,13488438442.667,10,0
figlet,20,1.000,4.175,4367189.333,9,0,cows,0,1.000,0.097,93927424.000,1,0,nmap,10,1.000,62.094,5728256.000,1,0,174.045,171.761,13464573269.333,13515231914.667,10,0
figlet,20,1.000,4.255,4245504.000,20,1,cows,0,1.000,0.118,94338662.400,1,0,nmap,20,0.300,54.731,6387712.000,1,1,163.440,189.569,13557213866.667,13727945932.800,10,1
figlet,20,1.000,2.939,6134784.000,9,0,cows,0,1.000,0.092,94395460.267,1,0,nmap,20,0.292,73.850,3041962.667,1,1,181.520,207.664,13871134720.000,13686373307.733,20,1
figlet,20,1.000,3.784,2908160.000,9,0,cows,0,1.000,0.093,94379622.400,1,0,nmap,20,0.353,112.466,165245610.667,1,1,169.520,186.953,13609398954.667,13609410150.400,10,1
figlet,20,1.000,2.531,2560000.000,1,0,cows,10,1.000,0.745,94944256.000,1,0,nmap,0,1.000,67.700,2801664.000,1,0,167.280,119.550,13634805760.000,13518625621.333,10,0
figlet,20,1.000,3.666,4302848.000,1,0,cows,10,1.000,2.603,7401472.000,1,0,nmap,0,1.000,0.188,52604928.000,1,0,112.200,103.089,13465625258.667,13492792832.000,10,0
figlet,20,1.000,3.680,4286464.000,1,0,cows,10,1.000,3.439,6144000.000,1,0,nmap,0,1.000,0.326,52604928.000,1,0,109.560,104.440,13468514986.667,13480182272.000,10,0
figlet,20,1.000,3.460,3071317.333,1,0,cows,10,1.000,2.869,3305472.000,1,0,nmap,10,1.000,41.304,65220778.667,1,0,110.520,169.050,13461362005.333,13563709098.667,10,0
figlet,20,1.000,3.825,3231744.000,1,0,cows,10,1.000,1.081,5750784.000,1,0,nmap,10,1.000,59.354,5693440.000,1,0,209.993,200.578,13564740266.667,13566206464.000,10,0
figlet,20,1.000,3.800,4919296.000,5,0,cows,10,1.000,1.219,5791744.000,5,0,nmap,10,1.000,65.615,8388608.000,5,0,219.627,191.854,13509692074.667,13541677738.667,10,0
figlet,20,1.000,3.237,4108288.000,9,0,cows,10,1.000,1.958,6144000.000,9,0,nmap,20,0.273,75.891,7227392.000,1,1,178.520,193.635,13543144789.333,13633154525.867,10,1
figlet,20,1.000,2.820,3317760.000,5,0,cows,10,1.000,1.567,5599232.000,5,0,nmap,20,0.220,80.945,2949120.000,1,1,204.920,205.938,13738453674.667,13714297514.667,10,1
figlet,20,1.000,2.435,2801664.000,5,0,cows,10,1.000,0.926,6180864.000,5,0,nmap,20,0.407,105.212,127954432.000,5,1,191.840,184.136,13655269376.000,13613853525.333,10,1
figlet,20,1.000,3.019,2584576.000,1,0,cows,20,1.000,1.744,7749632.000,1,0,nmap,0,1.000,33.155,3239936.000,1,0,215.040,184.210,13595784533.333,13594019328.000,10,0
figlet,20,1.000,3.914,4323328.000,1,0,cows,20,0.998,3.928,5091328.000,1,0,nmap,0,1.000,0.199,52297728.000,1,0,126.560,115.610,13484334421.333,13510009173.333,10,0
figlet,20,1.000,3.105,4159488.000,1,0,cows,20,1.000,3.238,5541888.000,1,0,nmap,0,1.000,0.212,52297728.000,1,0,110.440,105.990,13481768960.000,13502164138.667,10,0
figlet,20,1.000,3.847,3979264.000,1,0,cows,20,1.000,2.337,14446592.000,1,0,nmap,10,1.000,35.586,54169600.000,1,0,119.360,157.930,13495653717.333,13526962176.000,10,0
figlet,20,1.000,3.774,4411392.000,1,0,cows,20,1.000,3.447,13387776.000,1,0,nmap,10,1.000,62.404,9869312.000,1,0,188.440,191.055,13517847893.333,13568943786.667,10,0
