function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,20,1.000,2.293,3096576.000,5,0,nmap,10,1.000,39.759,2658304.000,5,0,curl,20,1.000,9.199,3145728.000,5,0,220.320,220.003,8234654378.667,8169476096.000,10,0
env,20,1.000,2.469,3063296.000,5,0,nmap,10,0.833,66.512,2340181.333,5,1,curl,30,0.898,15.315,3299328.000,5,1,222.000,220.880,8125475498.667,8159969450.667,10,1
env,20,1.000,1.945,3055616.000,5,0,nmap,10,0.843,61.700,3124224.000,5,1,curl,30,0.412,11.982,2600960.000,5,1,224.759,221.081,8185058645.333,8237017088.000,10,1
env,20,1.000,1.367,3091114.667,5,0,nmap,10,0.890,12.449,3133440.000,1,1,curl,30,0.497,8.033,2768896.000,5,1,221.600,222.683,8411475968.000,8439103658.667,10,1
env,20,1.000,2.251,2785280.000,1,0,nmap,20,0.012,46.160,3104768.000,1,1,curl,0,1.000,0.189,4231168.000,1,0,224.200,234.611,8393495210.667,8565026360.889,10,1
env,20,1.000,0.351,3104768.000,5,0,nmap,20,0.170,79.011,3213994.667,1,1,curl,0,1.000,0.084,2904064.000,1,0,231.640,225.280,8531090090.667,8498295739.733,10,1
env,20,1.000,1.502,3104768.000,5,0,nmap,20,0.178,73.387,2277376.000,1,1,curl,0,1.000,0.191,39673856.000,1,0,204.318,243.740,8291063125.333,8241796846.933,10,1
env,30,1.000,2.591,2797568.000,5,0,nmap,0,1.000,9.160,87752192.000,1,0,curl,0,1.000,0.172,39673856.000,1,0,186.400,142.937,8179255296.000,8099775488.000,10,0
env,30,1.000,3.839,7046144.000,9,0,nmap,0,1.000,0.166,53325824.000,1,0,curl,0,1.000,0.181,39673856.000,1,0,110.760,110.940,8042042026.667,8055776597.333,10,0
env,30,1.000,4.789,4052309.333,13,0,nmap,0,1.000,0.318,53319680.000,1,0,curl,0,1.000,0.171,39673856.000,1,0,117.440,116.770,8082483882.667,8109983914.667,10,0
