function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,1.581,3778560.000,1,0,env,10,1.000,1.005,16641536.000,1,0,curl,0,1.000,2.974,9851904.000,1,0,150.680,112.850,13250572288.000,13215710208.000,20,0
figlet,10,1.000,1.635,3875840.000,1,0,env,10,1.000,1.267,4200448.000,1,0,curl,0,1.000,0.178,26636288.000,1,0,122.840,107.710,12970346496.000,12989877077.333,10,0
figlet,10,1.000,1.284,5345280.000,1,0,env,10,1.000,1.394,4077568.000,1,0,curl,0,1.000,0.170,26636288.000,1,0,105.720,97.220,12979267584.000,12989348864.000,10,0
figlet,10,1.000,2.132,5537792.000,1,0,env,10,1.000,1.293,5718016.000,1,0,curl,10,1.000,4.944,28242432.000,1,0,116.600,112.570,12978911914.667,12993338538.667,10,0
figlet,10,1.000,1.694,2899968.000,1,0,env,10,1.000,1.739,3547648.000,1,0,curl,10,1.000,7.214,4511744.000,1,0,121.560,131.570,12982905514.667,13024502784.000,10,0
figlet,10,1.000,1.281,3833856.000,1,0,env,10,1.000,1.189,5070848.000,1,0,curl,10,1.000,6.762,4360192.000,1,0,150.500,124.214,13000620441.600,13029924181.333,10,0
figlet,10,1.000,2.147,4118016.000,1,0,env,10,1.000,1.374,4041728.000,1,0,curl,20,1.000,9.649,4844544.000,1,0,151.880,137.360,13015927466.667,13043166890.667,10,0
figlet,10,1.000,1.730,5451776.000,1,0,env,10,1.000,1.161,3845120.000,1,0,curl,20,1.000,12.081,4732928.000,1,0,150.040,142.430,13023008085.333,13042185728.000,10,0
figlet,10,1.000,2.332,5218304.000,1,0,env,10,1.000,1.579,3878912.000,1,0,curl,20,1.000,13.431,6713344.000,1,0,152.120,137.620,13018369365.333,13042538837.333,10,0
figlet,10,1.000,2.045,3926016.000,1,0,env,10,1.000,1.374,4134912.000,1,0,curl,30,1.000,18.513,5326848.000,1,0,166.160,149.410,13027799722.667,13059210922.667,10,0
figlet,10,1.000,1.685,3540992.000,1,0,env,10,1.000,1.182,3203072.000,1,0,curl,30,1.000,15.975,3039232.000,1,0,191.680,192.750,13034332842.667,13061154645.333,10,0
figlet,10,1.000,1.672,4587520.000,5,0,env,10,1.000,1.342,3692544.000,5,0,curl,30,1.000,17.487,4705280.000,5,0,183.720,155.990,13047067306.667,13066597717.333,10,0
figlet,10,1.000,2.055,4173824.000,5,0,env,10,1.000,0.980,3830784.000,5,0,curl,40,1.000,20.513,5942272.000,5,0,170.440,169.380,13051587925.333,13087145472.000,10,0
figlet,10,1.000,1.814,3698688.000,5,0,env,10,1.000,1.508,4057088.000,5,0,curl,40,1.000,21.097,4377941.333,13,0,178.360,183.662,13089947648.000,13147281920.000,10,0
figlet,10,1.000,2.093,3108864.000,1,0,env,10,1.000,1.456,3696640.000,1,0,curl,40,1.000,24.168,5497856.000,17,1,188.551,183.048,13228923562.667,13291056469.333,10,1
figlet,10,1.000,1.848,3676160.000,1,0,env,20,1.000,1.713,2957312.000,5,0,curl,0,1.000,5.006,9406008.889,1,0,186.960,138.530,13336969216.000,13358211242.667,20,0
figlet,10,1.000,1.484,4073984.000,1,0,env,20,1.000,3.051,3947520.000,13,0,curl,0,1.000,0.174,26857472.000,1,0,176.950,142.268,13139883349.333,13148100437.333,10,0
figlet,10,1.000,1.106,17270784.000,1,0,env,20,1.000,1.830,6807552.000,5,0,curl,0,1.000,0.147,26872832.000,1,0,129.160,120.730,13209673728.000,13239197525.333,20,0
figlet,10,1.000,2.068,3901952.000,1,0,env,20,1.000,2.467,4768768.000,1,0,curl,10,1.000,4.769,28110848.000,1,0,164.080,152.100,13098039296.000,13166136320.000,10,0
figlet,10,1.000,1.914,5414912.000,1,0,env,20,1.000,2.947,6389760.000,1,0,curl,10,1.000,5.938,4022272.000,1,0,160.960,149.530,13156513792.000,13151036074.667,10,0
figlet,10,1.000,2.115,5439488.000,1,0,env,20,1.000,1.714,5472256.000,1,0,curl,10,1.000,6.674,4478464.000,1,0,145.760,144.817,13107548160.000,13121442645.333,10,0
figlet,10,1.000,1.866,3770880.000,1,0,env,20,1.000,1.589,4232704.000,1,0,curl,20,1.000,8.819,4659200.000,1,0,151.720,142.350,13107656021.333,13128834218.667,10,0
figlet,10,1.000,1.839,4284416.000,1,0,env,20,1.000,2.451,6098944.000,1,0,curl,20,1.000,13.036,4944384.000,1,0,155.880,144.460,13104115712.000,13131402410.667,10,0
figlet,10,1.000,1.746,3849728.000,1,0,env,20,1.000,2.765,4126720.000,1,0,curl,20,1.000,9.407,6918144.000,1,0,162.040,146.700,13113965909.333,13134288042.667,10,0
figlet,10,1.000,2.225,5009408.000,1,0,env,20,1.000,2.353,3927040.000,1,0,curl,30,1.000,15.525,6494208.000,1,0,170.560,159.470,13111491925.333,13120637952.000,10,0
figlet,10,1.000,2.341,4497920.000,5,0,env,20,1.000,2.437,5201920.000,5,0,curl,30,1.000,17.442,5312512.000,5,0,187.720,166.772,13083476650.667,13107122005.333,10,0
