function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,20,1.000,3.173,4898304.000,9,0,cows,20,1.000,5.122,84702890.667,9,0,nmap,0,1.000,0.178,51765248.000,1,0,150.960,144.540,7309947562.667,7385322837.333,10,0
env,20,1.000,3.382,2719744.000,13,0,cows,20,1.000,6.908,84658517.333,13,0,nmap,0,1.000,0.187,51765248.000,1,0,152.800,141.030,7520897706.667,7570713088.000,10,0
env,20,1.000,4.602,5905920.000,5,0,cows,20,1.000,6.079,78055936.000,5,0,nmap,10,0.067,28.607,119822336.000,1,1,153.000,226.817,7714983936.000,7862113621.333,10,1
env,20,1.000,2.057,6899712.000,5,0,cows,20,1.000,2.573,59196928.000,5,0,nmap,10,0.970,75.893,112606890.667,5,0,252.586,240.557,7842905429.333,7641225557.333,10,0
env,20,1.000,2.562,3160576.000,5,0,cows,20,1.000,5.248,59512832.000,5,0,nmap,10,0.983,66.315,101063680.000,1,0,226.995,228.706,7481703765.333,7447254357.333,10,0
env,20,1.000,1.596,3121152.000,1,0,cows,30,1.000,3.414,59611136.000,1,0,nmap,0,1.000,21.711,3293184.000,1,0,235.960,223.808,7389293909.333,7365296469.333,10,0
env,20,1.000,2.496,4325376.000,1,0,cows,30,1.000,3.589,59693568.000,1,0,nmap,0,1.000,0.205,43287552.000,1,0,175.560,174.550,7257681920.000,7240681130.667,10,0
env,20,1.000,2.345,4345856.000,1,0,cows,30,1.000,2.926,59708416.000,1,0,nmap,0,1.000,0.158,43290624.000,1,0,173.720,180.858,7240523093.333,7286256469.333,10,0
env,20,1.000,2.607,3284992.000,1,0,cows,30,1.000,3.976,59646976.000,1,0,nmap,10,1.000,30.683,49740288.000,1,0,172.760,184.984,7242527402.667,7258320213.333,10,0
env,20,1.000,2.738,4257792.000,5,0,cows,30,1.000,2.358,59679914.667,5,0,nmap,10,1.000,77.263,4956672.000,5,0,205.600,211.089,7231320064.000,7294943232.000,10,0
env,20,1.000,2.651,3840000.000,5,0,cows,30,1.000,2.652,59905877.333,5,0,nmap,10,1.000,57.357,8138752.000,5,0,208.668,209.402,7292547754.667,7292614656.000,10,0
env,20,1.000,1.660,3014656.000,5,0,cows,30,1.000,2.900,7163904.000,5,0,nmap,20,0.195,93.283,113542758.400,1,1,211.628,210.783,7286461781.333,7379913932.800,10,1
env,20,1.000,2.061,3330048.000,9,0,cows,30,1.000,1.827,59822899.200,9,0,nmap,20,0.270,88.734,120886067.200,1,1,200.040,201.001,7369676117.333,7378317312.000,10,1
env,20,1.000,1.040,3244032.000,1,0,cows,30,1.000,3.118,60025856.000,1,0,nmap,20,0.148,88.336,151403633.778,1,1,219.480,216.261,7482993049.600,7466163131.733,10,1
env,20,1.000,1.179,3170304.000,5,0,cows,40,1.000,4.795,59848704.000,5,0,nmap,0,1.000,21.199,90671104.000,1,0,207.721,174.565,7403836074.667,7288701098.667,10,0
env,20,1.000,3.343,5197141.333,9,0,cows,40,1.000,7.867,62856192.000,9,0,nmap,0,1.000,0.214,50331648.000,1,0,144.760,144.661,7266218666.667,7323761664.000,10,0
env,20,1.000,3.651,8358912.000,13,0,cows,40,1.000,9.436,63346688.000,13,0,nmap,0,1.000,0.259,50332160.000,1,0,172.680,146.950,7435151360.000,7492874752.000,10,0
env,20,1.000,2.553,9034752.000,17,1,cows,40,1.000,7.390,62987776.000,17,1,nmap,10,0.830,37.338,61270528.000,1,1,167.480,182.645,7633035946.667,7727561045.333,10,1
env,20,1.000,0.970,9300650.667,5,0,cows,40,1.000,7.126,50121728.000,5,0,nmap,10,0.993,24.183,3293184.000,5,0,260.960,247.875,7997203797.333,7786139818.667,20,0
env,20,1.000,2.531,2658304.000,5,0,cows,40,1.000,5.436,57393152.000,5,0,nmap,10,1.000,51.098,3293184.000,5,0,232.790,231.857,7572710058.667,7531827029.333,10,0
env,20,1.000,1.926,2658304.000,9,0,cows,40,1.000,5.514,61568910.222,9,0,nmap,20,0.140,43.542,155221333.333,1,1,219.108,255.233,7542797653.333,7703133980.444,10,1
env,20,1.000,1.609,2920448.000,5,0,cows,40,1.000,2.611,61664597.333,5,0,nmap,20,0.178,71.865,144965632.000,1,1,223.413,217.069,7739457536.000,7569838489.600,10,1
env,20,1.000,1.789,2383872.000,5,0,cows,40,1.000,3.885,62182195.200,5,0,nmap,20,0.268,95.923,115476206.933,1,1,199.823,200.214,7477443925.333,7464564053.333,10,1
env,20,1.000,1.989,3162112.000,1,0,cows,50,1.000,2.343,62489941.333,1,0,nmap,0,1.000,52.426,65973248.000,1,0,201.878,165.894,7500529664.000,7393186986.667,10,0
env,20,1.000,2.713,3737600.000,5,0,cows,50,1.000,5.484,64143189.333,5,0,nmap,0,1.000,0.235,50241536.000,1,0,138.840,146.920,7379782997.333,7361143808.000,10,0
env,20,1.000,2.819,4371456.000,5,0,cows,50,1.000,5.610,65552384.000,5,0,nmap,0,1.000,0.153,50229248.000,1,0,143.800,148.910,7334647808.000,7303686314.667,10,0
env,20,1.000,2.888,4652032.000,5,0,cows,50,1.000,7.867,65466026.667,13,0,nmap,10,1.000,28.071,63821312.000,5,0,142.960,173.656,7292780544.000,7399682560.000,10,0
env,20,1.000,0.865,3354624.000,5,0,cows,50,1.000,6.839,65474560.000,20,1,nmap,10,0.420,14.657,80859136.000,1,1,210.504,214.431,7552024576.000,7744485717.333,10,1
env,20,1.000,1.884,3736917.333,5,0,cows,50,1.000,2.765,53369856.000,5,0,nmap,10,1.000,51.012,87826432.000,5,0,242.120,231.324,7977598976.000,7493218304.000,20,0
env,30,1.000,2.390,2781184.000,5,0,cows,0,1.000,1.660,57165824.000,1,0,nmap,0,1.000,20.822,49465856.000,1,0,203.025,211.320,7327649792.000,7364268885.333,10,0
env,30,1.000,3.760,17448960.000,9,0,cows,0,1.000,0.115,57099264.000,1,0,nmap,0,1.000,0.212,40321024.000,1,0,147.600,115.950,7267650218.667,7272204629.333,10,0
env,30,1.000,4.953,4793002.667,17,1,cows,0,1.000,0.094,56856576.000,1,0,nmap,0,1.000,0.186,40321024.000,1,0,139.400,132.330,7323664384.000,7397505365.333,10,1
