function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.115,15605760.000,1,0,nodeinfo,40,1.000,12.090,13919232.000,9,0,env,50,1.000,5.609,5578752.000,9,0,191.680,177.950,10430715221.333,10498843477.333,10,0
figlet,0,1.000,0.107,15605760.000,1,0,nodeinfo,40,1.000,12.490,27588096.000,13,0,env,50,1.000,7.056,4777984.000,13,0,174.120,177.348,10631266986.667,10706490026.667,10,0
figlet,0,1.000,0.106,15607296.000,1,0,nodeinfo,40,1.000,13.413,30090581.333,17,1,env,50,1.000,5.966,4472661.333,17,1,191.118,187.558,10832119125.333,10915016021.333,10,1
figlet,0,1.000,0.120,14519296.000,1,0,nodeinfo,50,1.000,7.513,30166016.000,1,0,env,0,1.000,1.647,3664384.000,1,0,254.640,220.263,11010362709.333,10891604650.667,20,0
figlet,0,1.000,0.108,14420480.000,1,0,nodeinfo,50,1.000,9.278,8806400.000,1,0,env,0,1.000,0.086,12529664.000,1,0,201.944,179.337,10444977493.333,10437733888.000,10,0
figlet,0,1.000,0.113,14516906.667,1,0,nodeinfo,50,0.999,11.782,15711232.000,5,0,env,0,1.000,0.096,12532736.000,1,0,133.240,145.969,10421732693.333,10438473728.000,10,0
figlet,0,1.000,0.112,14483456.000,1,0,nodeinfo,50,1.000,9.217,16349866.667,1,0,env,10,1.000,0.608,12533760.000,1,0,162.720,148.393,10431196501.333,10417442304.000,10,0
figlet,0,1.000,0.107,14483456.000,1,0,nodeinfo,50,1.000,7.493,18452480.000,1,0,env,10,1.000,1.428,4152832.000,1,0,156.800,167.511,10404391594.667,10446732970.667,10,0
figlet,0,1.000,0.129,14483456.000,1,0,nodeinfo,50,1.000,9.012,6623232.000,1,0,env,10,1.000,1.986,4052480.000,1,0,169.080,167.260,10419161770.667,10444260010.667,10,0
figlet,0,1.000,0.110,14483456.000,1,0,nodeinfo,50,1.000,10.067,7081984.000,1,0,env,20,1.000,1.719,12605098.667,1,0,226.271,227.991,10390320469.333,10416548181.333,10,0
figlet,0,1.000,0.118,14483456.000,1,0,nodeinfo,50,1.000,7.719,7258112.000,1,0,env,20,1.000,2.514,4206592.000,1,0,220.717,209.003,10416573098.667,10440112469.333,10,0
figlet,0,1.000,0.096,14487040.000,1,0,nodeinfo,50,1.000,7.367,5849088.000,1,0,env,20,1.000,3.572,3793408.000,1,0,170.520,163.380,10410129408.000,10437187584.000,10,0
figlet,0,1.000,0.100,14487552.000,1,0,nodeinfo,50,1.000,8.887,8237056.000,1,0,env,30,1.000,4.921,5316608.000,1,0,189.960,172.424,10418255189.333,10444916394.667,10,0
figlet,0,1.000,0.111,14512128.000,1,0,nodeinfo,50,1.000,8.910,15376896.000,5,0,env,30,1.000,4.072,4679680.000,5,0,174.360,170.121,10422890496.000,10448818858.667,10,0
figlet,0,1.000,0.100,14544896.000,1,0,nodeinfo,50,1.000,9.422,5910528.000,5,0,env,30,1.000,4.676,4022272.000,5,0,164.360,171.271,10444277760.000,10447402325.333,10,0
figlet,0,1.000,0.103,14544896.000,1,0,nodeinfo,50,1.000,12.527,15022080.000,13,0,env,40,1.000,3.582,4105216.000,5,0,185.720,191.864,10438864896.000,10535573845.333,10,0
figlet,0,1.000,0.104,14616576.000,1,0,nodeinfo,50,1.000,16.312,28276736.000,17,1,env,40,1.000,6.067,4533248.000,9,0,199.080,188.887,10689516885.333,10769066325.333,10,1
figlet,0,1.000,0.101,14691840.000,1,0,nodeinfo,50,1.000,8.739,29925376.000,5,0,env,40,1.000,4.422,8971264.000,5,0,179.520,176.993,10906136576.000,10828686848.000,20,0
figlet,0,1.000,0.097,14692352.000,1,0,nodeinfo,50,1.000,10.871,6950912.000,9,0,env,50,1.000,6.262,4872533.333,9,0,209.291,177.936,10551193600.000,10587368618.667,10,0
figlet,0,1.000,0.091,14708565.333,1,0,nodeinfo,50,1.000,13.525,16388608.000,13,0,env,50,1.000,6.978,5396650.667,13,0,198.776,182.635,10689119573.333,10761418922.667,10,0
figlet,0,1.000,0.102,14710784.000,1,0,nodeinfo,50,1.000,14.093,7712768.000,17,1,env,50,1.000,4.787,8760832.000,1,0,186.680,184.815,10904236032.000,10989098496.000,10,1
figlet,10,1.000,1.113,15353856.000,1,0,nodeinfo,0,1.000,3.685,22188032.000,1,0,env,0,1.000,0.228,3530752.000,1,0,216.850,151.609,11075007829.333,10772304554.667,20,0
figlet,10,1.000,2.144,3997696.000,5,0,nodeinfo,0,1.000,0.137,51701760.000,1,0,env,0,1.000,0.080,15183872.000,1,0,116.920,112.397,10445254656.000,10469664256.000,10,0
figlet,10,1.000,2.262,4136448.000,5,0,nodeinfo,0,1.000,0.135,51358720.000,1,0,env,0,1.000,0.088,15183872.000,1,0,116.800,114.380,10471681365.333,10476800341.333,10,0
figlet,10,1.000,2.038,5775360.000,1,0,nodeinfo,0,1.000,0.111,51181056.000,1,0,env,10,1.000,1.022,15186944.000,1,0,122.880,113.720,10479591424.000,10469802325.333,10,0
figlet,10,1.000,2.481,3776512.000,1,0,nodeinfo,0,1.000,0.116,51146240.000,1,0,env,10,1.000,1.838,4071424.000,1,0,145.520,131.493,10460359338.667,10493974869.333,10,0
figlet,10,1.000,2.131,4103680.000,1,0,nodeinfo,0,1.000,0.131,50782208.000,1,0,env,10,1.000,1.431,3784704.000,1,0,144.412,139.153,10485504682.667,10479963136.000,10,0
